,Smiles,Property,Value,Units
550,C1CCCO1,Preferred Calculated Density,1,g mL-1
551,CCOC(=O)C(=C)C#N,Calculated Density,1.21 - 1.31,g mL-1
552,CCOC(=O)C(=C)C#N,Preferred Calculated Density,1.27,g mL-1
553,C=Cc1ccc(cc1)Br,Density,0.87,g mL-1
554,C=Cc1ccc(cc1)Br,Calculated Density,0.87,g mL-1
555,C=Cc1ccc(cc1)Br,Preferred Calculated Density,0.87,g mL-1
556,OC(=O)c1cc(ccc1)C(=O)O.Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,Density,1.21,g mL-1
557,OC(=O)c1cc(ccc1)C(=O)O.Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,Calculated Density,1.19 - 1.27,g mL-1
558,OC(=O)c1cc(ccc1)C(=O)O.Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,Preferred Calculated Density,1.22,g mL-1
559,ClCCCl.[Na]S[Na],Density,1.3,g mL-1
560,ClCCCl.[Na]S[Na],Calculated Density,1.19 - 1.25,g mL-1
561,ClCCCl.[Na]S[Na],Preferred Calculated Density,1.22,g mL-1
562,O=C1CCCCCO1,Density,1.10 - 1.15,g mL-1
563,O=C1CCCCCO1,Preferred Density,1.12,g mL-1
564,O=C1CCCCCO1,Calculated Density,1.11 - 1.14,g mL-1
565,O=C1CCCCCO1,Preferred Calculated Density,1.13,g mL-1
566,CC=C.[C-]#[O+],Density,1.26,g mL-1
567,CC=C.[C-]#[O+],Calculated Density,1.11 - 1.12,g mL-1
568,CC=C.[C-]#[O+],Preferred Calculated Density,1.11,g mL-1
569,COC=C,Density,1.03 - 1.06,g mL-1
570,COC=C,Preferred Density,1.04,g mL-1
571,COC=C,Calculated Density,0.97 - 1.03,g mL-1
572,COC=C,Preferred Calculated Density,1.01,g mL-1
573,OC(=O)c1ccc(cc1)C(=O)O.Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,Density,1.21,g mL-1
574,OC(=O)c1ccc(cc1)C(=O)O.Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,Calculated Density,1.19 - 1.27,g mL-1
575,OC(=O)c1ccc(cc1)C(=O)O.Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,Preferred Calculated Density,1.22,g mL-1
576,C=CC(=O)NC(C)(C)C,Density,1.03,g mL-1
577,C=CC(=O)NC(C)(C)C,Calculated Density,1.03 - 1.05,g mL-1
578,C=CC(=O)NC(C)(C)C,Preferred Calculated Density,1.03,g mL-1
579,OC(=O)CCCCCCCCC(=O)O.OCCO,Density,1.09,g mL-1
580,OC(=O)CCCCCCCCC(=O)O.OCCO,Calculated Density,1.11 - 1.12,g mL-1
581,OC(=O)CCCCCCCCC(=O)O.OCCO,Preferred Calculated Density,1.12,g mL-1
582,C=CC(=O)OCc1ccccc1,Density,1.15,g mL-1
583,C=CC(=O)OCc1ccccc1,Calculated Density,1.17 - 1.22,g mL-1
584,C=CC(=O)OCc1ccccc1,Preferred Calculated Density,1.19,g mL-1
585,CC(c1cc(Cl)c(c(c1)Cl)O)(c1cc(Cl)c(c(c1)Cl)O)C.ClC(=O)Cl,Calculated Density,0.89 - 0.95,g mL-1
586,CC(c1cc(Cl)c(c(c1)Cl)O)(c1cc(Cl)c(c(c1)Cl)O)C.ClC(=O)Cl,Preferred Calculated Density,0.92,g mL-1
587,CCOCCOC(=O)C(=C)C,Density,1.09,g mL-1
588,CCOCCOC(=O)C(=C)C,Calculated Density,1.11 - 1.14,g mL-1
589,CCOCCOC(=O)C(=C)C,Preferred Calculated Density,1.12,g mL-1
590,OC(=O)c1ccc2c(c1)ccc(c2)C(=O)O.OCCO,Density,1.35 - 1.36,g mL-1
591,OC(=O)c1ccc2c(c1)ccc(c2)C(=O)O.OCCO,Preferred Density,1.35,g mL-1
592,OC(=O)c1ccc2c(c1)ccc(c2)C(=O)O.OCCO,Calculated Density,1.28 - 1.39,g mL-1
593,OC(=O)c1ccc2c(c1)ccc(c2)C(=O)O.OCCO,Preferred Calculated Density,1.33,g mL-1
594,C=COC(=O)c1ccccc1,Density,1.2,g mL-1
595,C=COC(=O)c1ccccc1,Calculated Density,1.20 - 1.27,g mL-1
596,C=COC(=O)c1ccccc1,Preferred Calculated Density,1.24,g mL-1
597,CC(=O)C=C,Density,1.05 - 1.12,g mL-1
598,CC(=O)C=C,Preferred Density,1.12,g mL-1
599,CC(=O)C=C,Calculated Density,1.10 - 1.12,g mL-1
600,CC(=O)C=C,Preferred Calculated Density,1.11,g mL-1
601,C=CC(=O)OCC#N,Density,1.35,g mL-1
602,C=CC(=O)OCC#N,Calculated Density,1.27 - 1.39,g mL-1
603,C=CC(=O)OCC#N,Preferred Calculated Density,1.34,g mL-1
604,C=CC(C)(C)C,Calculated Density,0.83 - 0.90,g mL-1
605,C=CC(C)(C)C,Preferred Calculated Density,0.86,g mL-1
606,ClC=C,Density,1.38 - 1.39,g mL-1
607,ClC=C,Preferred Density,1.38,g mL-1
608,ClC=C,Calculated Density,1.37 - 1.40,g mL-1
609,ClC=C,Preferred Calculated Density,1.38,g mL-1
610,OCCOCCO.O=C=NCCCCCCN=C=O,Density,1.26,g mL-1
611,OCCOCCO.O=C=NCCCCCCN=C=O,Calculated Density,1.18 - 1.28,g mL-1
612,OCCOCCO.O=C=NCCCCCCN=C=O,Preferred Calculated Density,1.23,g mL-1
613,CC(=O)NC(=O)C(=C)C,Density,1.14,g mL-1
614,CC(=O)NC(=O)C(=C)C,Calculated Density,1.18 - 1.28,g mL-1
615,CC(=O)NC(=O)C(=C)C,Preferred Calculated Density,1.23,g mL-1
616,O1C C1COc1ccc(cc1)Cc1ccc(cc1)OC C1O C1,Density,1.17,g mL-1
617,O1C C1COc1ccc(cc1)Cc1ccc(cc1)OC C1O C1,Calculated Density,1.17,g mL-1
618,CC(=C)C(=O)OCCO,Density,1.34,g mL-1
619,CC(=C)C(=O)OCCO,Calculated Density,1.21 - 1.29,g mL-1
620,CC(=C)C(=O)OCCO,Preferred Calculated Density,1.25,g mL-1
621,OC(=O)CCCCCCCCC(=O)O.NCCCCCCN,Density,1.04,g mL-1
622,OC(=O)CCCCCCCCC(=O)O.NCCCCCCN,Calculated Density,1.01 - 1.03,g mL-1
623,OC(=O)CCCCCCCCC(=O)O.NCCCCCCN,Preferred Calculated Density,1.02,g mL-1
624,C=CC(=C)Cl,Density,1.24,g mL-1
625,C=CC(=C)Cl,Calculated Density,1.25 - 1.26,g mL-1
626,C=CC(=C)Cl,Preferred Calculated Density,1.25,g mL-1
627,C=Cc1ccccc1OC,Density,1.1,g mL-1
628,C=Cc1ccccc1OC,Calculated Density,1.05 - 1.10,g mL-1
629,C=Cc1ccccc1OC,Preferred Calculated Density,1.07,g mL-1
630,CCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)C=C,Calculated Density,0.92 - 0.97,g mL-1
631,CCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)C=C,Preferred Calculated Density,0.94,g mL-1
632,C=CC(C)C,Density,0.9,g mL-1
633,C=CC(C)C,Calculated Density,0.81 - 0.90,g mL-1
